domain,hsts,csp
tubepatrol.pro,undefined,undefined
spip.net,max-age=63072000,undefined
studyinternational.com,undefined,undefined
pcolle.com,NA,NA
womensmarch.com,max-age=63072000,undefined
crl.godaddy.com,max-age=15552000; includeSubDomains,frame-ancestors 'none'
stack.com,undefined,undefined
www.limetorrents.lol,NA,NA
shopping.bing-shopping.microsoft-falcon.io,undefined,default-src 'none'
adjaranet.bet,undefined,undefined
yes.my,max-age=31536000,undefined
converse.com.mx,max-age=31557600,undefined
learninsta.com,undefined,undefined
iteso.mx,undefined,undefined
www.betano.pt,max-age=15552000; includeSubDomains; preload,undefined
www.check24.de,max-age=31536000,frame-ancestors check24.de *.check24.de
misya.info,undefined,undefined
epapoutsia.gr,max-age=2592000,upgrade-insecure-requests
esc7.net,max-age=31536000,frame-ancestors 'self' *.edlioadmin.com *.esc7.net
fast.trychameleon.com,max-age=31536000,undefined
genina.com,NA,NA
bestweapon.in,undefined,undefined
dwt.com,max-age=31536000; includeSubDomains;,default-src 'self' 'unsafe-inline' 'unsafe-eval'; script-src 'self' 'unsafe-eval' 'unsafe-inline' *.google.com *.google-analytics.com *.googletagmanager.com *.gstatic.com *.googleapis.com siteimproveanalytics.com *.cloudflare.com *.youtube.com *.ytimg.com *.cookielaw.org *.issuu.com *.twitter.com; style-src 'self' 'unsafe-inline' *.googleapis.com; font-src 'self' data: *.googleapis.com *.gstatic.com; img-src 'self' data: *.siteimproveanalytics.io *.cookielaw.org *.google-analytics.com *.ytimg.com *.twitter.com; frame-src 'self' *.google.com *.youtube.com *.ytimg.com vimeo.com *.vimeo.com *.issuu.com *.office.com *.twitter.com *.spotify.com *.soundcloud.com quiz.tryinteract.com *.arcgis.com; connect-src 'self' *.google-analytics.com analytics.google.com *.doubleclick.net vimeo.com *.vimeo.com *.cookielaw.org *.onetrust.com *.issuu.com *.twitter.com; child-src 'self' blob: *.youtube.com *.ytimg.com; frame-ancestors 'self' *.office.com *.twitter.com; upgrade-insecure-requests; block-all-mixed-content;
vindy.com,undefined,undefined
kaspyinfo.ru,max-age=15768000,upgrade-insecure-requests;
k7computing.com,undefined,undefined
stun.playstation.net,NA,NA
genshinlab.com,undefined,undefined
expo-shkola.ru,NA,NA
adimo.co,undefined,undefined
m.sni.global.fastly.net,NA,NA
audrilty.com,max-age=1,undefined
events.teams.microsoft.com,max-age=2592000,base-uri 'none';default-src 'none';manifest-src 'self';script-src 'self' 'report-sample' https://amp.azure.net;style-src 'self' 'unsafe-inline' 'report-sample' https://amp.azure.net;style-src-attr 'unsafe-inline';img-src 'self' data: https://www.gstatic.com https://amp.azure.net;connect-src 'self' https://config.edge.skype.com https://brbv2.skype.com https://login.microsoftonline.us https://login.microsoftonline.com https://mstvirtualevents.b2clogin.com https://*.microsoft.com https://*.microsoft.us https://*.cloud.microsoft https://api.asm.skype.net https://brbv2.blob.core.windows.net https://amp.azure.net https://*.azurefd.net https://*.media.azure.net https://*.media.usgovcloudapi.net;font-src 'self' data: https://static2.sharepointonline.com https://amp.azure.net;frame-src 'self' https://login.microsoftonline.us https://login.microsoftonline.com https://teams.microsoft.com https://teams.cloud.microsoft https://mstvirtualevents.b2clogin.com https://*.access.rs-mcas.ms https://*.access.mcas.ms https://*.access.mcas-gov.us https://*.access.mcas-gov.ms;form-action 'none';frame-ancestors 'self' https://*.microsoft.com https://*.cloud.microsoft;worker-src 'self' blob: https://amp.azure.net https://*.microsoft.com https://*.cloud.microsoft;media-src blob: https://*.cloud.microsoft https://*.microsoft.com https://*.azurefd.net https://*.media.azure.net https://*.media.usgovcloudapi.net;require-trusted-types-for 'script';trusted-types default dompurify;upgrade-insecure-requests;report-uri https://csp.microsoft.com/report/teams-virtual-events-portal;
rhino.com,undefined,undefined
www.google.com.pr,undefined,undefined
www.denverpost.com,max-age=31536000;includeSubdomains,default-src data: 'unsafe-inline' 'unsafe-eval' https:; script-src data: 'unsafe-inline' 'unsafe-eval' https: blob:; style-src 'unsafe-inline' https:; img-src data: https: blob:; font-src data: https:; connect-src https: data: blob: wss://realtimeeventfeeds.viafoura.co wss://sub.viafoura.co; media-src blob: data: https:; object-src https:; child-src https: data: blob:; upgrade-insecure-requests; block-all-mixed-content;
wsbof.com,NA,NA
chpoking.ru,undefined,undefined
umanity.jp,max-age=63072000,undefined
sampath.lk,max-age=31536000; includeSubDomains,default-src 'self' http://localhost:3000 https://sampath-web.devops.arimac.xyz https://new-testweb.sampath.lk https://sitweb.sampath.lk https://www.sampath.lk 'unsafe-inline'; img-src 'self' data: blob: https://sampath-web.devops.arimac.xyz/* https://*.googleapis.com https://*.gstatic.com https://www.facebook.com *.google.com *.googleusercontent.com; connect-src 'self' https://*.googleapis.com https://*.gstatic.com data: https://www.google-analytics.com https://www.googletagmanager.com https://sampath-web.devops.arimac.xyz/* https://new-testweb.sampath.lk/* https://sitweb.sampath.lk/* https://www.sampath.lk/*; script-src 'sha256-fixYqLzkX83VA1INRLs54g5Xdv1HGBvoOPvHURUr+hY=' 'self' 'self' https://*.googleapis.com *.google.com https://*.gstatic.com https://www.recaptcha.net/recaptcha/api.js https://sampath-web.devops.arimac.xyz/* https://new-testweb.sampath.lk/* https://sitweb.sampath.lk/* https://www.sampath.lk/*; style-src 'unsafe-inline' 'self' https://www.gstatic.com/charts/51/* https://*.gstatic.com https://*.googleapis.com https://use.fontawesome.com/releases/v5.7.1/css/all.css; media-src 'self' https://storage.googleapis.com/arimac-storage/sampath/card_39mb%20(1).mp4; frame-src 'self' https://sea-sam-chatbot-webapp-bot-prod.azurewebsites.net/ https://www.recaptcha.net https://www.youtube.com https://www.facebook.com/ https://web.facebook.com/; script-src-elem 'self' 'unsafe-inline' https://*.googleapis.com *.google.com https://*.gstatic.com https://www.googletagmanager.com https://connect.facebook.net https://www.recaptcha.net/recaptcha/api.js https://sampath-web.devops.arimac.xyz/* https://new-testweb.sampath.lk/* https://sitweb.sampath.lk/* https://www.sampath.lk/*; font-src 'self' https://fonts.gstatic.com https://use.fontawesome.com/releases/v5.7.1/webfonts/
perfectgift.com,max-age=63072000,undefined
toutatice.fr,NA,NA
amazingtalker.com,undefined,undefined
4patriots.com,max-age=7889238,block-all-mixed-content; frame-ancestors 'none'; upgrade-insecure-requests;
redporn.xxx,undefined,undefined
midatacredito.com,NA,NA
h30434.www3.hp.com,undefined,undefined
xxx-premium.com,NA,NA
velonews.com,max-age=31622400,frame-ancestors 'self' *.vercel.app *.rivt.com rivt.com *.outsideapi.com outsideapi.com *.pocketoutdoormedia.com outsideinc.com pocketoutdoormedia.com *.outsideinc.com velopress.com *.velopress.com *.mycoloradoparks.com mycoloradoparks.com *.rockandice.com rockandice.com *.theboxmag.com theboxmag.com *.nationalparktrips.com nationalparktrips.com  *.nationalparktripsmedia.com nationalparktripsmedia.com *.betamtb.com betamtb.com *.mysmokymountainpark.com mysmokymountainpark.com *.myolympicpark.com myolympicpark.com *.climbing.com climbing.com *.backpacker.com backpacker.com *.podiumrunner.com podiumrunner.com *.skimag.com skimag.com myutahparks.com *.myutahparks.com *.mygrandcanyonpark.com mygrandcanyonpark.com *.oxygenmag.com oxygenmag.com *.triathlete.com triathlete.com velonews.com *.velonews.com muscleandperformance.com *.muscleandperformance.com *.outsidebusinessjournal.com outsidebusinessjournal.com snewsnet.com *.snewsnet.com gymclimber.com *.gymclimber.com livebeyoga.com *.yogajournal.com yogajournal.com *.livebeyoga.com womensrunning.com *.womensrunning.com trailrunnermag.com *.trailrunnermag.com outsideonline.com *.outsideonline.com *.betternutrition.com betternutrition.com vegetariantimes.com *.vegetariantimes.com cleaneating.com *.cleaneatingmag.com cleaneatingmag.com *.cleaneating.com *.thenaturx.com thenaturx.com *.yellowstonepark.com yellowstonepark.com *.myyellowstonepark.com myyellowstonepark.com myyosemitepark.com *.myyosemitepark.com *.rollmassif.com rollmassif.com *.getcairn.com getcairn.com *.athletereg.com athletereg.com *.finisherpix.com finisherpix.com *.pinkbike.com pinkbike.com *.pinkbike.org pinkbike.org *.bikereg.com bikereg.com *.runreg.com runreg.com *.trireg.com trireg.com *.skireg.com skireg.com *.pledgereg.com pledgereg.com *.gaiagps.com gaiagps.com *.trailforks.com trailforks.com
enrollments.api.brightspace.com,NA,NA
bidv.vn,undefined,undefined
qconline.com,max-age=31536000; includeSubDomains; preload,upgrade-insecure-requests
nyugat.hu,undefined,undefined
juegosarea.com,max-age=63072000,undefined
bmicc.ir,NA,NA
www4.whentowork.com,undefined,undefined
dagstuhl.de,max-age=31536000,undefined
www.farmers.com,max-age=15768000 ; includeSubDomains ; preload,undefined
nksupport.com,undefined,undefined
www.brooksrunning.com,undefined,frame-ancestors 'self'
mediag2481ed.airspace-a.cbsivideo.com,undefined,undefined
360.yandex.ru,undefined,default-src 'none'; script-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ 'unsafe-eval' 'nonce-Y51KeWRSOlayQn/hQd6DrQ==' 'self' 'unsafe-inline' mc.yandex.ru mc.yandex.az mc.yandex.by mc.yandex.co.il mc.yandex.com mc.yandex.com.am mc.yandex.com.ge mc.yandex.com.tr mc.yandex.ee mc.yandex.fr mc.yandex.kg mc.yandex.kz mc.yandex.lt mc.yandex.lv mc.yandex.md mc.yandex.ru mc.yandex.tj mc.yandex.tm mc.yandex.ua mc.yandex.uz mc.webvisor.com mc.webvisor.org mc.admetrica.ru yastatic.net; style-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ 'unsafe-inline' 'self' fonts.googleapis.com; font-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ fonts.gstatic.com; media-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ 'unsafe-inline' 'self' storage.yandexcloud.net s3.mds.yandex.net; img-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ 'self' data: blob: mc.yandex.ru mc.yandex.az mc.yandex.by mc.yandex.co.il mc.yandex.com mc.yandex.com.am mc.yandex.com.ge mc.yandex.com.tr mc.yandex.ee mc.yandex.fr mc.yandex.kg mc.yandex.kz mc.yandex.lt mc.yandex.lv mc.yandex.md mc.yandex.ru mc.yandex.tj mc.yandex.tm mc.yandex.ua mc.yandex.uz mc.webvisor.com mc.webvisor.org mc.admetrica.ru yastatic.net downloader.disk.yandex.ru downloader.disk.yandex.net yandex.ru favicon.yandex.net storage.yandexcloud.net s3.mds.yandex.net avatars.mds.yandex.net *.storage.yandex.net *.disk.yandex.net; connect-src yandex.ru mc.yandex.ru mc.yandex.az mc.yandex.by mc.yandex.co.il mc.yandex.com mc.yandex.com.am mc.yandex.com.ge mc.yandex.com.tr mc.yandex.ee mc.yandex.fr mc.yandex.kg mc.yandex.kz mc.yandex.lt mc.yandex.lv mc.yandex.md mc.yandex.ru mc.yandex.tj mc.yandex.tm mc.yandex.ua mc.yandex.uz mc.webvisor.com mc.webvisor.org mc.admetrica.ru yandexmetrica.com:* 'self' api.passport.yandex.ru mail.yandex.ru https://pdd.yandex.ru:* https://pdd.yandex.com:* api-stable.dst.yandex.ru cloud-api.yandex.ru yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/; frame-src yastatic.net https://*.static-dev.mail.yandex.net/s3/psf/ 'self' blob: mc.yandex.ru forms.yandex.ru www.youtube.com yandex.ru trust.yandex.ru; child-src 'self' blob: mc.yandex.ru; base-uri 'self'; frame-ancestors 'self' https://*.webvisor.com https://metrika.yandex.com https://metrika.yandex.ru; report-uri https://csp.yandex.net/csp?from=tuning&project=tuning&yandex_login=&yandexuid=6838769421713300821;
facturatech.co,undefined,undefined
quantech.cc,NA,NA
ihep.ac.cn,undefined,undefined
pspcl.in,NA,NA
ennovelass.cam,undefined,undefined
weareher.com,max-age=63072000; includeSubDomains; preload;,undefined
recantodasletras.com.br,max-age=15768000,undefined
htv-net.ne.jp,NA,NA
